"rules","support","confidence","coverage","lift","count"
"1","{citrus.fruit=cling film/bags} => {ready.soups=}",0.00202680614579928,0.96875,0.00209218698921216,1.80321665449677,31
"2","{semi.finished.bread=liquor} => {ready.soups=}",0.00222294867603792,0.871794871794872,0.00254985289310232,1.62274583961331,34
"3","{semi.finished.bread=seasonal products} => {ready.soups=}",0.00222294867603792,0.871794871794872,0.00254985289310232,1.62274583961331,34
"4","{citrus.fruit=flower (seeds)} => {semi.finished.bread=}",0.00222294867603792,0.85,0.0026152337365152,3.73048780487805,34
"5","{citrus.fruit=flower (seeds)} => {margarine=}",0.0026152337365152,1,0.0026152337365152,2.50122649223222,40
"6","{citrus.fruit=flower (seeds)} => {ready.soups=}",0.0026152337365152,1,0.0026152337365152,1.86138493367409,40
"7","{citrus.fruit=pot plants} => {semi.finished.bread=}",0.00222294867603792,0.829268292682927,0.00268061457992808,3.639500297442,34
"8","{citrus.fruit=pot plants} => {margarine=}",0.00268061457992808,1,0.00268061457992808,2.50122649223222,41
"9","{citrus.fruit=pot plants} => {ready.soups=}",0.00268061457992808,1,0.00268061457992808,1.86138493367409,41
"10","{semi.finished.bread=cake bar} => {ready.soups=}",0.00202680614579928,0.75609756097561,0.00268061457992808,1.40738860838773,31
"11","{citrus.fruit=photo/film} => {semi.finished.bread=}",0.00248447204968944,0.904761904761905,0.00274599542334096,3.97082735533238,38
"12","{citrus.fruit=photo/film} => {margarine=}",0.00274599542334096,1,0.00274599542334096,2.50122649223222,42
"13","{citrus.fruit=photo/film} => {ready.soups=}",0.00274599542334096,1,0.00274599542334096,1.86138493367409,42
"14","{margarine=pot plants} => {ready.soups=}",0.0026152337365152,0.909090909090909,0.00287675711016672,1.6921681215219,40
"15","{semi.finished.bread=red/blush wine} => {ready.soups=}",0.00235371036286368,0.8,0.0029421379535796,1.48910794693927,36
"16","{citrus.fruit=red/blush wine} => {ready.soups=}",0.00248447204968944,0.826086956521739,0.00300751879699248,1.53766581477425,38
"17","{citrus.fruit=dishes} => {semi.finished.bread=}",0.00268061457992808,0.854166666666667,0.00313828048381824,3.74877450980392,41
"18","{citrus.fruit=dishes} => {margarine=}",0.00307289964040536,0.979166666666667,0.00313828048381824,2.44911760697738,47
"19","{citrus.fruit=dishes} => {ready.soups=}",0.00313828048381824,1,0.00313828048381824,1.86138493367409,48
"20","{citrus.fruit=chewing gum} => {margarine=}",0.00274599542334096,0.857142857142857,0.00320366132723112,2.14390842191333,42
"21","{citrus.fruit=chewing gum} => {ready.soups=}",0.00300751879699248,0.938775510204082,0.00320366132723112,1.74742259079608,46
"22","{semi.finished.bread=dishes} => {ready.soups=}",0.003269042170644,1,0.003269042170644,1.86138493367409,50
"23","{citrus.fruit=white wine} => {margarine=}",0.00248447204968944,0.76,0.003269042170644,1.90093213409648,38
"24","{citrus.fruit=white wine} => {ready.soups=}",0.00300751879699248,0.92,0.003269042170644,1.71247413898016,46
"25","{semi.finished.bread=pot plants} => {margarine=}",0.00300751879699248,0.884615384615385,0.00339980385746976,2.21262343543619,46
"26","{semi.finished.bread=pot plants} => {ready.soups=}",0.00339980385746976,1,0.00339980385746976,1.86138493367409,52
"27","{citrus.fruit=detergent} => {ready.soups=}",0.003269042170644,0.909090909090909,0.0035959463877084,1.6921681215219,50
"28","{semi.finished.bread=white wine} => {ready.soups=}",0.00307289964040536,0.839285714285714,0.00366132723112128,1.56223378361933,47
"29","{citrus.fruit=specialty bar} => {margarine=}",0.00346518470088264,0.828125,0.00418437397842432,2.0713281888798,53
"30","{citrus.fruit=specialty bar} => {ready.soups=}",0.00398823144818568,0.953125,0.00418437397842432,1.77413251490812,61
"31","{citrus.fruit=candy} => {margarine=}",0.00379208891794704,0.892307692307692,0.0042497548218372,2.23186363922259,58
"32","{citrus.fruit=candy} => {ready.soups=}",0.00418437397842432,0.984615384615385,0.0042497548218372,1.8327482423868,64
"33","{semi.finished.bread=candy} => {ready.soups=}",0.0045766590389016,0.909090909090909,0.00503432494279176,1.6921681215219,70
"34","{semi.finished.bread=hygiene articles} => {ready.soups=}",0.00444589735207584,0.871794871794872,0.00509970578620464,1.62274583961331,68
"35","{citrus.fruit=specialty chocolate} => {margarine=}",0.00405361229159856,0.775,0.0052304674730304,1.93845053147997,62
"36","{citrus.fruit=specialty chocolate} => {ready.soups=}",0.00431513566525008,0.825,0.0052304674730304,1.53564257028112,66
"37","{citrus.fruit=misc. beverages} => {ready.soups=}",0.00477280156914024,0.901234567901235,0.00529584831644328,1.67754444639764,73
"38","{citrus.fruit=long life bakery product} => {margarine=}",0.00418437397842432,0.761904761904762,0.00549199084668192,1.90569637503407,64
"39","{citrus.fruit=long life bakery product} => {ready.soups=}",0.00496894409937888,0.904761904761905,0.00549199084668192,1.68411017808608,76
"40","{semi.finished.bread=specialty bar} => {ready.soups=}",0.00509970578620464,0.876404494382023,0.00581889506374632,1.63132612164696,78
"41","{citrus.fruit=hygiene articles} => {margarine=}",0.0052304674730304,0.888888888888889,0.0058842759071592,2.22331243753975,80
"42","{citrus.fruit=hygiene articles} => {ready.soups=}",0.0058842759071592,1,0.0058842759071592,1.86138493367409,90
"43","{semi.finished.bread=specialty chocolate} => {ready.soups=}",0.0052304674730304,0.842105263157895,0.0062111801242236,1.56748204940976,80
"44","{semi.finished.bread=sausage} => {citrus.fruit=frankfurter}",0.00647270349787512,1,0.00647270349787512,26.3706896551724,99
"45","{citrus.fruit=waffles} => {ready.soups=}",0.00614579928081072,0.895238095238095,0.0068649885583524,1.66638270252728,94
"46","{citrus.fruit=salty snack} => {ready.soups=}",0.00634194181104936,0.850877192982456,0.00745341614906832,1.58380998742445,97
"47","{semi.finished.bread=napkins} => {ready.soups=}",0.00738803530565544,0.957627118644068,0.00771493952271984,1.7825126907218,113
"48","{citrus.fruit=chocolate} => {margarine=}",0.0071918927754168,0.82089552238806,0.00876103301732592,2.05324562795182,110
"49","{citrus.fruit=chocolate} => {ready.soups=}",0.00823798627002288,0.940298507462687,0.00876103301732592,1.75025747494728,126
"50","{citrus.fruit=napkins} => {margarine=}",0.00817260542661,0.925925925925926,0.0088264138607388,2.31595045577057,125
"51","{citrus.fruit=napkins} => {ready.soups=}",0.00869565217391304,0.985185185185185,0.0088264138607388,1.83380886058262,133
"52","{semi.finished.bread=canned beer} => {ready.soups=}",0.00934946060804184,0.826589595375723,0.0113108859104282,1.53860141916413,143
"53","{citrus.fruit=coffee} => {ready.soups=}",0.00902255639097744,0.779661016949153,0.0115724092840798,1.45124927032217,138
"54","{citrus.fruit=fruit/vegetable juice} => {ready.soups=}",0.00967636482510624,0.813186813186813,0.0118993135011442,1.51365368232838,148
"55","{semi.finished.bread=newspapers} => {margarine=}",0.0115724092840798,0.889447236180904,0.0130107878391631,2.2247089905784,177
"56","{semi.finished.bread=newspapers} => {ready.soups=}",0.0129454069957502,0.994974874371859,0.0130107878391631,1.85203124054005,198
"57","{semi.finished.bread=bottled beer} => {ready.soups=}",0.0102647924158222,0.773399014778325,0.0132723112128146,1.43959327382676,157
"58","{citrus.fruit=newspapers} => {semi.finished.bread=}",0.0120300751879699,0.893203883495146,0.0134684537430533,3.92010140546865,184
"59","{citrus.fruit=newspapers} => {margarine=}",0.0134684537430533,1,0.0134684537430533,2.50122649223222,206
"60","{citrus.fruit=newspapers} => {ready.soups=}",0.0134684537430533,1,0.0134684537430533,1.86138493367409,206
"61","{margarine=newspapers} => {ready.soups=}",0.0120300751879699,0.872037914691943,0.0137953579601177,1.62319823600015,184
"62","{semi.finished.bread=shopping bags} => {margarine=}",0.0149722131415495,1,0.0149722131415495,2.50122649223222,229
"63","{semi.finished.bread=shopping bags} => {ready.soups=}",0.0149722131415495,1,0.0149722131415495,1.86138493367409,229
"64","{margarine=shopping bags} => {ready.soups=}",0.0164105916966329,1,0.0164105916966329,1.86138493367409,251
"65","{citrus.fruit=shopping bags} => {semi.finished.bread=}",0.0176528277214776,1,0.0176528277214776,4.38880918220947,270
"66","{citrus.fruit=shopping bags} => {margarine=}",0.0176528277214776,1,0.0176528277214776,2.50122649223222,270
"67","{citrus.fruit=shopping bags} => {ready.soups=}",0.0176528277214776,1,0.0176528277214776,1.86138493367409,270
"68","{citrus.fruit=bottled beer} => {margarine=}",0.0159529257927427,0.821548821548822,0.0194181104936254,2.05487967712007,244
"69","{citrus.fruit=bottled beer} => {ready.soups=}",0.0182412553121935,0.939393939393939,0.0194181104936254,1.74857372557263,279
"70","{citrus.fruit=bottled water} => {ready.soups=}",0.0184373978424322,0.776859504132231,0.0237332461588755,1.44603457657326,282
"71","{citrus.fruit=canned beer} => {margarine=}",0.0226217718208565,0.891752577319588,0.0253677672441974,2.23047517090811,346
"72","{citrus.fruit=canned beer} => {ready.soups=}",0.02451781627983,0.966494845360825,0.0253677672441974,1.79901894362831,375
"73","{citrus.fruit=soda} => {ready.soups=}",0.0305982347172279,0.850909090909091,0.035959463877084,1.5838693617445,468
"74","{semi.finished.bread=} => {margarine=}",0.227852239293887,1,0.227852239293887,2.50122649223222,3485
"75","{semi.finished.bread=} => {ready.soups=}",0.227852239293887,1,0.227852239293887,1.86138493367409,3485
"76","{margarine=} => {ready.soups=}",0.399803857469761,1,0.399803857469761,1.86138493367409,6115
"77","{citrus.fruit=flower (seeds),semi.finished.bread=} => {margarine=}",0.00222294867603792,1,0.00222294867603792,2.50122649223222,34
"78","{citrus.fruit=flower (seeds),margarine=} => {semi.finished.bread=}",0.00222294867603792,0.85,0.0026152337365152,3.73048780487805,34
"79","{citrus.fruit=flower (seeds),semi.finished.bread=} => {ready.soups=}",0.00222294867603792,1,0.00222294867603792,1.86138493367409,34
"80","{citrus.fruit=flower (seeds),ready.soups=} => {semi.finished.bread=}",0.00222294867603792,0.85,0.0026152337365152,3.73048780487805,34
"81","{citrus.fruit=flower (seeds),margarine=} => {ready.soups=}",0.0026152337365152,1,0.0026152337365152,1.86138493367409,40
"82","{citrus.fruit=flower (seeds),ready.soups=} => {margarine=}",0.0026152337365152,1,0.0026152337365152,2.50122649223222,40
"83","{citrus.fruit=pot plants,semi.finished.bread=} => {margarine=}",0.00222294867603792,1,0.00222294867603792,2.50122649223222,34
"84","{citrus.fruit=pot plants,margarine=} => {semi.finished.bread=}",0.00222294867603792,0.829268292682927,0.00268061457992808,3.639500297442,34
"85","{citrus.fruit=pot plants,semi.finished.bread=} => {ready.soups=}",0.00222294867603792,1,0.00222294867603792,1.86138493367409,34
"86","{citrus.fruit=pot plants,ready.soups=} => {semi.finished.bread=}",0.00222294867603792,0.829268292682927,0.00268061457992808,3.639500297442,34
"87","{citrus.fruit=pot plants,margarine=} => {ready.soups=}",0.00268061457992808,1,0.00268061457992808,1.86138493367409,41
"88","{citrus.fruit=pot plants,ready.soups=} => {margarine=}",0.00268061457992808,1,0.00268061457992808,2.50122649223222,41
"89","{citrus.fruit=photo/film,semi.finished.bread=} => {margarine=}",0.00248447204968944,1,0.00248447204968944,2.50122649223222,38
"90","{citrus.fruit=photo/film,margarine=} => {semi.finished.bread=}",0.00248447204968944,0.904761904761905,0.00274599542334096,3.97082735533238,38
"91","{citrus.fruit=photo/film,semi.finished.bread=} => {ready.soups=}",0.00248447204968944,1,0.00248447204968944,1.86138493367409,38
"92","{citrus.fruit=photo/film,ready.soups=} => {semi.finished.bread=}",0.00248447204968944,0.904761904761905,0.00274599542334096,3.97082735533238,38
"93","{citrus.fruit=photo/film,margarine=} => {ready.soups=}",0.00274599542334096,1,0.00274599542334096,1.86138493367409,42
"94","{citrus.fruit=photo/film,ready.soups=} => {margarine=}",0.00274599542334096,1,0.00274599542334096,2.50122649223222,42
"95","{citrus.fruit=red/blush wine,margarine=} => {ready.soups=}",0.00215756783262504,1,0.00215756783262504,1.86138493367409,33
"96","{citrus.fruit=red/blush wine,ready.soups=} => {margarine=}",0.00215756783262504,0.868421052631579,0.00248447204968944,2.17211774325429,33
"97","{citrus.fruit=dishes,semi.finished.bread=} => {margarine=}",0.00268061457992808,1,0.00268061457992808,2.50122649223222,41
"98","{citrus.fruit=dishes,margarine=} => {semi.finished.bread=}",0.00268061457992808,0.872340425531915,0.00307289964040536,3.82853566958698,41
"99","{citrus.fruit=dishes,semi.finished.bread=} => {ready.soups=}",0.00268061457992808,1,0.00268061457992808,1.86138493367409,41
"100","{citrus.fruit=dishes,ready.soups=} => {semi.finished.bread=}",0.00268061457992808,0.854166666666667,0.00313828048381824,3.74877450980392,41
"101","{citrus.fruit=dishes,margarine=} => {ready.soups=}",0.00307289964040536,1,0.00307289964040536,1.86138493367409,47
"102","{citrus.fruit=dishes,ready.soups=} => {margarine=}",0.00307289964040536,0.979166666666667,0.00313828048381824,2.44911760697738,47
"103","{citrus.fruit=chewing gum,margarine=} => {ready.soups=}",0.00274599542334096,1,0.00274599542334096,1.86138493367409,42
"104","{citrus.fruit=chewing gum,ready.soups=} => {margarine=}",0.00274599542334096,0.91304347826087,0.00300751879699248,2.28372853638594,42
"105","{semi.finished.bread=dishes,margarine=} => {ready.soups=}",0.0022883295194508,1,0.0022883295194508,1.86138493367409,35
"106","{citrus.fruit=white wine,margarine=} => {ready.soups=}",0.00248447204968944,1,0.00248447204968944,1.86138493367409,38
"107","{citrus.fruit=white wine,ready.soups=} => {margarine=}",0.00248447204968944,0.826086956521739,0.00300751879699248,2.06623058053966,38
"108","{semi.finished.bread=pot plants,margarine=} => {ready.soups=}",0.00300751879699248,1,0.00300751879699248,1.86138493367409,46
"109","{semi.finished.bread=pot plants,ready.soups=} => {margarine=}",0.00300751879699248,0.884615384615385,0.00339980385746976,2.21262343543619,46
"110","{citrus.fruit=detergent,margarine=} => {ready.soups=}",0.00268061457992808,1,0.00268061457992808,1.86138493367409,41
"111","{citrus.fruit=detergent,ready.soups=} => {margarine=}",0.00268061457992808,0.82,0.003269042170644,2.05100572363042,41
"112","{citrus.fruit=specialty bar,semi.finished.bread=} => {margarine=}",0.00274599542334096,1,0.00274599542334096,2.50122649223222,42
"113","{citrus.fruit=specialty bar,margarine=} => {semi.finished.bread=}",0.00274599542334096,0.792452830188679,0.00346518470088264,3.47792425759996,42
